"unique_key","created_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","status","community_board","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","latitude","longitude","location"
"67081199","2025-12-06T16:20:53.000","DOB","Department of Buildings","General Construction/Plumbing","Building Permit - None",,"11418","86-66 109 STREET","109 STREET",,,,,"ADDRESS","Open","09 QUEENS","QUEENS","1028871","193171","UNKNOWN","Unspecified","QUEENS","40.69677405114156","-73.83908420075727","@{latitude=40.69677405114156; longitude=-73.83908420075727; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67076857","2025-12-06T16:20:00.000","DEP","Department of Environmental Protection","Noise","Noise: Construction Before/After Hours (NM1)",,"11214","1676 85 STREET","85 STREET","16 AVE","17 AVE",,,"ADDRESS","Open","11 BROOKLYN","BROOKLYN","982865","161387","ONLINE","Unspecified","BROOKLYN","40.609646296619395","-74.00498817567943","@{latitude=40.609646296619395; longitude=-74.00498817567943; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67082254","2025-12-06T16:20:00.000","DEP","Department of Environmental Protection","Water System","No Water (WNW)",,"11374","87-14 ELIOT AVENUE","ELIOT AVENUE","WETHEROLE ST","BOOTH ST",,,"ADDRESS","Open","06 QUEENS","QUEENS","1020371","205503","ONLINE","Unspecified","QUEENS","40.73066118693573","-73.86967135919687","@{latitude=40.73066118693573; longitude=-73.86967135919687; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67082460","2025-12-06T16:19:32.000","DOHMH","Department of Health and Mental Hygiene","Indoor Air Quality","Sewage Odor","3+ Family Apt. Building","11201","86 FLEET PLACE","FLEET PLACE","MYRTLE AVENUE","FAIR STREET","MYRTLE AVENUE","FAIR STREET","ADDRESS","In Progress","02 BROOKLYN","BROOKLYN","989305","191777","ONLINE","Unspecified","BROOKLYN","40.693058893203386","-73.98177128283187","@{latitude=40.693058893203386; longitude=-73.98177128283187; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67083837","2025-12-06T16:19:05.000","DOT","Department of Transportation","Sidewalk Condition","Blocked - Construction","Sidewalk","11377","32-60 55 STREET","55 STREET","32 AVENUE","AMTRAK-NY/CONN RAIL LINE","32 AVENUE","AMTRAK-NY/CONN RAIL LINE","ADDRESS","In Progress","01 QUEENS","QUEENS","1010298","214119","ONLINE","Unspecified","QUEENS","40.754345343746415","-73.90598247968364","@{latitude=40.754345343746415; longitude=-73.90598247968364; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67082517","2025-12-06T16:18:30.000","DSNY","Department of Sanitation","Dirty Condition","Trash","Sidewalk","10303","3245 RICHMOND TERRACE","RICHMOND TERRACE","SOUTH AVENUE","ARLINGTON AVENUE","SOUTH AVENUE","ARLINGTON AVENUE","ADDRESS","Closed","01 STATEN ISLAND","STATEN ISLAND","938083","172623","ONLINE","Unspecified","STATEN ISLAND","40.640366547531066","-74.16635037227299","@{latitude=40.640366547531066; longitude=-74.16635037227299; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67078157","2025-12-06T16:17:58.000","DOT","Department of Transportation","Street Condition","Defective Hardware","Street","11214","BAY   44 STREET","BAY   44 STREET","BAY   44 STREET","CROPSEY AVENUE","BAY   44 STREET","CROPSEY AVENUE","INTERSECTION","In Progress","13 BROOKLYN","BROOKLYN","986892","153895","PHONE","Unspecified","BROOKLYN","40.58908198800388","-73.99048757989547","@{latitude=40.58908198800388; longitude=-73.99048757989547; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67076501","2025-12-06T16:17:53.000","DOB","Department of Buildings","Elevator","Elevator - Multiple Devices On Property",,"11238","333 LAFAYETTE AVENUE","LAFAYETTE AVENUE",,,,,"ADDRESS","Open","02 BROOKLYN","BROOKLYN","994820","190181","UNKNOWN","Unspecified","BROOKLYN","40.68867337308419","-73.9618862764283","@{latitude=40.68867337308419; longitude=-73.9618862764283; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67079880","2025-12-06T16:17:53.000","DOB","Department of Buildings","Special Projects Inspection Team (SPIT)","Illegal Hotel Rooms In Residential Building",,"11379","78-20 67 ROAD","67 ROAD",,,,,"ADDRESS","Open","05 QUEENS","QUEENS","1018939","198860","UNKNOWN","Unspecified","QUEENS","40.712433506524924","-73.8748724073585","@{latitude=40.712433506524924; longitude=-73.8748724073585; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67082261","2025-12-06T16:17:52.000","DOB","Department of Buildings","Elevator","Elevator - Multiple Devices On Property",,"10455","745 FOX STREET","FOX STREET",,,,,"ADDRESS","Open","02 BRONX","BRONX","1012286","236294","UNKNOWN","Unspecified","BRONX","40.8152036852302","-73.89871446322147","@{latitude=40.8152036852302; longitude=-73.89871446322147; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
